# time(ns) distance (A) angle (deg)
0.000 1.800 109.171
0.360 2.760 84.964
0.390 1.850 90.361
0.400 2.030 109.882
0.410 2.000 110.716
0.590 1.760 94.166
0.600 2.150 122.282
0.610 1.930 109.596
0.620 1.910 108.587
0.630 1.890 96.995
0.640 1.880 89.988
0.650 1.860 98.382
0.660 2.050 116.389
0.670 1.900 93.374
0.680 2.210 111.596
0.690 1.840 80.679
0.700 1.870 108.533
0.710 1.940 84.966
0.720 1.970 95.197
0.730 2.220 107.939
0.740 2.060 106.588
0.750 2.000 107.074
0.760 1.880 102.846
0.770 2.270 120.720
0.780 1.920 111.057
0.790 1.830 104.272
0.800 1.940 99.095
0.810 2.350 107.278
0.820 1.820 109.984
0.830 2.060 107.568
0.840 2.050 113.533
0.850 2.140 109.598
0.860 2.010 104.863
0.870 1.940 102.324
0.880 2.070 102.150
0.890 2.050 96.220
0.900 2.080 84.104
0.910 1.960 110.718
0.920 2.110 120.447
0.930 2.120 91.170
0.940 2.060 106.762
0.950 2.080 113.422
0.960 1.980 104.101
0.970 1.800 96.263
0.980 1.920 104.578
0.990 1.860 108.790
1.000 2.130 104.248
1.010 2.130 99.241
1.020 2.050 103.732
1.030 2.040 113.252
1.050 1.760 100.385
1.060 2.060 101.619
1.070 2.160 97.836
1.080 2.300 110.179
1.090 2.120 110.159
1.100 1.970 113.374
1.110 2.100 128.318
1.120 1.900 110.594
1.130 1.890 111.883
1.140 2.160 112.449
1.150 1.820 107.416
1.160 1.970 105.925
1.170 2.000 106.732
1.180 2.020 97.132
1.190 1.770 107.546
1.200 2.140 114.492
1.210 2.040 115.423
1.220 2.240 120.909
1.400 2.740 85.467
1.410 1.980 114.834
1.420 2.220 109.200
1.430 1.920 99.173
1.440 1.960 120.342
1.450 2.200 122.444
1.460 2.190 133.389
1.470 2.050 108.768
1.480 1.850 101.820
1.490 1.900 105.216
1.500 1.970 124.481
1.510 1.860 98.697
1.520 2.240 116.169
1.530 2.200 107.787
1.540 2.360 118.331
1.550 1.980 98.743
1.560 1.910 113.183
1.570 2.030 114.393
1.580 2.120 104.887
1.590 1.880 100.693
1.600 1.780 100.905
1.730 1.920 89.774
1.740 1.920 101.047
1.750 2.310 107.358
1.760 1.980 106.599
1.770 2.180 98.121
1.780 2.030 104.294
1.790 2.050 113.390
1.800 2.140 106.641
1.810 1.900 116.669
1.820 1.870 89.356
2.000 2.780 119.247
2.470 1.860 95.783
2.480 2.030 100.276
2.490 2.000 111.110
2.500 1.960 89.090
2.510 2.120 99.283
2.520 1.890 105.168
2.530 1.970 106.064
2.540 1.810 99.244
2.550 1.860 96.887
2.560 2.010 99.945
2.570 1.930 110.593
2.580 1.900 110.629
2.590 1.900 98.829
2.600 1.950 93.257
2.610 1.930 107.917
2.620 1.870 94.385
2.630 1.880 88.028
2.640 2.030 95.372
2.650 2.070 106.345
2.660 2.100 111.501
2.670 1.910 99.988
2.680 2.110 107.732
2.690 1.930 109.159
2.700 2.040 103.710
2.710 2.110 89.127
2.720 1.840 91.241
2.730 2.000 105.368
2.740 1.940 93.974
2.750 1.940 113.686
2.760 1.790 86.548
2.770 2.130 106.992
2.780 2.000 107.504
2.790 1.990 118.498
2.800 2.090 110.283
2.810 1.880 89.324
2.820 1.840 108.018
2.830 1.770 107.199
2.840 2.270 101.054
2.850 1.940 104.045
2.860 2.000 104.445
2.870 1.970 93.517
2.880 1.800 100.485
2.890 1.960 101.419
2.900 1.900 91.104
2.910 2.040 89.070
3.000 2.760 95.028
3.230 2.160 90.210
3.240 2.420 85.521
3.410 2.670 98.402
3.550 2.770 94.167
3.600 2.520 94.087
3.800 2.690 87.551
4.320 2.040 86.704
4.330 2.200 88.342
4.340 1.940 105.972
4.350 2.080 112.016
4.360 2.000 94.519
4.370 2.430 108.947
4.380 1.920 95.698
4.400 1.800 95.131
4.410 2.120 101.718
4.420 1.900 103.706
4.430 1.900 87.853
4.440 2.050 97.102
4.450 1.820 96.090
4.460 2.080 95.191
4.470 1.800 96.032
4.480 1.970 89.281
4.490 1.910 102.376
4.500 2.020 93.997
4.510 1.870 96.081
4.520 1.840 85.698
4.530 1.870 86.368
4.550 1.930 108.391
4.560 1.890 106.137
4.570 1.840 103.282
4.580 2.140 109.469
4.590 1.840 95.571
4.600 1.990 81.587
4.610 1.960 95.426
4.620 1.940 99.652
4.630 1.830 94.237
4.640 2.000 101.441
4.650 1.870 101.316
4.660 1.950 94.889
4.670 2.070 98.293
4.680 1.930 97.945
4.690 2.020 101.053
4.700 1.950 92.461
4.710 2.150 102.694
4.720 2.120 91.101
4.730 1.850 102.070
4.740 1.850 101.958
4.750 2.070 120.178
4.760 2.180 105.882
4.830 2.350 85.662
4.840 2.050 95.750
4.860 2.620 84.344
4.880 2.710 85.792
4.920 2.740 81.609
4.970 2.720 85.203
4.980 2.520 109.558
5.000 2.530 102.554
5.020 2.520 86.386
5.050 2.300 107.266
5.060 1.980 95.975
5.070 2.020 98.468
5.080 2.130 81.322
5.090 1.980 89.593
5.100 2.170 104.942
5.110 1.870 98.404
5.120 2.270 98.973
5.130 1.950 85.923
5.140 1.880 106.111
5.150 1.870 105.261
5.160 1.890 99.764
5.230 2.770 82.077
5.690 2.270 86.736
5.700 2.090 117.288
5.710 1.780 94.623
5.720 1.920 100.932
5.730 2.060 111.719
5.740 2.330 113.130
5.750 2.650 119.209
5.760 1.970 107.779
5.770 2.370 115.337
5.780 2.150 90.114
5.790 2.100 108.683
5.800 1.990 101.776
5.810 1.900 109.307
5.820 2.090 107.663
5.830 1.860 94.191
5.840 2.520 120.431
5.850 1.950 117.397
5.860 2.150 102.111
5.870 1.890 107.351
5.880 2.040 98.707
5.890 1.910 103.653
5.900 2.000 89.068
5.920 2.100 103.127
5.930 2.140 91.423
5.940 1.990 107.106
5.950 1.850 90.823
5.960 2.300 111.230
5.970 2.100 123.618
5.980 1.990 101.878
5.990 1.750 85.947
6.000 1.960 89.678
6.010 2.060 93.585
6.020 2.160 98.034
6.030 1.860 97.900
6.040 2.070 92.717
6.050 2.130 96.613
6.060 2.030 100.943
6.070 1.920 98.467
6.080 1.760 90.529
6.090 1.920 82.936
6.100 1.920 89.154
6.110 1.990 118.903
6.120 2.050 96.056
6.130 2.190 121.987
6.140 1.960 107.480
6.150 2.090 107.168
6.160 2.320 124.419
6.170 2.210 96.903
6.180 1.930 106.548
6.190 2.150 103.383
6.200 1.990 107.913
6.210 1.950 85.896
6.220 2.200 118.396
6.230 1.990 100.692
6.240 1.980 101.371
6.250 2.120 108.711
6.260 2.130 104.252
6.270 2.030 104.871
6.280 1.910 96.104
6.290 2.140 108.883
6.300 1.940 96.384
6.310 2.350 101.470
6.320 1.870 108.902
6.330 1.770 96.516
6.340 1.890 103.250
6.350 1.810 100.321
6.360 2.040 112.710
6.370 1.850 97.073
6.380 2.080 97.604
6.390 1.930 96.327
6.400 2.440 114.633
6.410 1.730 111.801
6.420 1.960 105.918
6.430 2.160 116.518
6.440 1.920 108.643
6.450 1.860 104.376
6.460 1.910 103.554
6.470 2.090 98.727
6.480 2.010 106.834
6.490 1.790 107.293
6.500 1.970 114.079
6.510 1.880 92.496
6.520 1.830 104.891
6.530 2.180 118.097
6.540 1.890 112.596
6.550 2.270 119.471
6.560 1.870 111.686
6.570 2.010 109.483
6.580 1.850 93.845
6.590 2.040 119.192
6.600 1.830 104.487
6.610 1.940 100.594
6.620 1.900 99.823
6.630 2.150 92.416
6.640 2.080 117.139
6.650 1.820 96.722
6.660 2.360 97.016
6.670 1.940 109.281
6.680 2.200 92.267
6.690 1.870 96.057
6.700 2.030 86.533
6.710 2.050 109.575
6.720 2.100 109.887
6.730 2.040 89.457
6.740 1.920 105.948
6.750 1.820 98.430
6.760 1.980 103.263
6.770 2.040 114.497
